,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
6334,"son,_min_suh:0","Son, Min Suh",,,female,5,andy,3,andy,3,2,2,0,,,
6336,"meade,_everard_kidder:0","Meade, Everard Kidder",,,male,1,unknown,3,unknown,3,2,2,0,,,
6347,"ghosh,_ishita:0","Ghosh, Ishita",,,female,5,unknown,3,unknown,3,2,2,0,,,
6365,"fox,_cybelle:0","Fox, Cybelle",,,female,5,unknown,3,unknown,3,2,2,0,,,
6471,"camper,_starr_morrow:0","Camper, Starr Morrow",,,female,5,andy,3,andy,3,2,2,0,,,
6502,"quraishi,_uzma:0","Quraishi, Uzma",,,female,5,unknown,3,unknown,3,2,2,0,,,
6509,"sengupta,_gunja:0","Sengupta, Gunja",,,female,5,unknown,3,unknown,3,2,2,0,,,
6532,"parr,_leslie_gale:0","Parr, Leslie Gale",,,female,5,mostly_female,4,andy,3,1,2,1,,,
6536,"vose,_robin_j._e.:0","Vose, Robin J. E.",,,female,5,mostly_female,4,andy,3,1,2,1,,,
6590,"campbell,_marne_lyn:0","Campbell, Marne Lyn",,,female,5,unknown,3,unknown,3,2,2,0,,,
6609,"kuo,_sampson_hsiang-chang:0","Kuo, Sampson Hsiang Chang",,,male,1,unknown,3,unknown,3,2,2,0,,,
6646,"scheffler,_robin_wolfe:0","Scheffler, Robin Wolfe",,,female,5,mostly_female,4,andy,3,1,2,1,,,
6653,"ali,_tahseen_h.:0","Ali, Tahseen H.",,,female,5,unknown,3,unknown,3,2,2,0,,,
